,subject,response,p_val,size,avg,act_as,play_against,temp
1,1,22,2-Jan,11,average,human decision maker,human decision maker,0.25
2,2,22,2-Jan,11,average,human decision maker,human decision maker,0.25
3,3,22,2-Jan,11,average,human decision maker,human decision maker,0.25
4,4,22,2-Jan,11,average,human decision maker,human decision maker,0.25
5,5,30,2-Jan,11,average,human decision maker,human decision maker,0.25
6,6,35,2-Jan,11,average,human decision maker,human decision maker,0.25
7,7,22,2-Jan,11,average,human decision maker,human decision maker,0.25
8,8,33,2-Jan,11,average,human decision maker,human decision maker,0.25
9,9,35,2-Jan,11,average,human decision maker,human decision maker,0.25
10,10,33,2-Jan,11,average,human decision maker,human decision maker,0.25
11,11,22,2-Jan,11,average,human decision maker,human decision maker,0.25
12,12,25,2-Jan,11,average,human decision maker,human decision maker,0.25
13,13,22,2-Jan,11,average,human decision maker,human decision maker,0.25
14,14,30,2-Jan,11,average,human decision maker,human decision maker,0.25
15,15,22,2-Jan,11,average,human decision maker,human decision maker,0.25
16,16,22,2-Jan,11,average,human decision maker,human decision maker,0.25
17,17,33,2-Jan,11,average,human decision maker,human decision maker,0.25
18,18,25,2-Jan,11,average,human decision maker,human decision maker,0.25
19,19,22,2-Jan,11,average,human decision maker,human decision maker,0.25
20,20,35,2-Jan,11,average,human decision maker,human decision maker,0.25
21,21,22,2-Jan,11,average,human decision maker,human decision maker,0.25
22,22,22,2-Jan,11,average,human decision maker,human decision maker,0.25
23,23,22,2-Jan,11,average,human decision maker,human decision maker,0.25
24,24,35,2-Jan,11,average,human decision maker,human decision maker,0.25
25,25,25,2-Jan,11,average,human decision maker,human decision maker,0.25
26,26,35,2-Jan,11,average,human decision maker,human decision maker,0.25
27,27,35,2-Jan,11,average,human decision maker,human decision maker,0.25
28,28,33,2-Jan,11,average,human decision maker,human decision maker,0.25
29,29,33,2-Jan,11,average,human decision maker,human decision maker,0.25
30,30,22,2-Jan,11,average,human decision maker,human decision maker,0.25
31,31,22,2-Jan,11,average,human decision maker,human decision maker,0.25
32,32,22,2-Jan,11,average,human decision maker,human decision maker,0.25
33,33,22,2-Jan,11,average,human decision maker,human decision maker,0.25
34,34,22,2-Jan,11,average,human decision maker,human decision maker,0.25
35,35,33,2-Jan,11,average,human decision maker,human decision maker,0.25
36,36,25,2-Jan,11,average,human decision maker,human decision maker,0.25
37,37,22,2-Jan,11,average,human decision maker,human decision maker,0.25
38,38,22,2-Jan,11,average,human decision maker,human decision maker,0.25
39,39,22,2-Jan,11,average,human decision maker,human decision maker,0.25
40,40,22,2-Jan,11,average,human decision maker,human decision maker,0.25
41,41,22,2-Jan,11,average,human decision maker,human decision maker,0.25
42,42,35,2-Jan,11,average,human decision maker,human decision maker,0.25
43,43,30,2-Jan,11,average,human decision maker,human decision maker,0.25
44,44,33,2-Jan,11,average,human decision maker,human decision maker,0.25
45,45,33,2-Jan,11,average,human decision maker,human decision maker,0.25
46,46,25,2-Jan,11,average,human decision maker,human decision maker,0.25
47,47,22,2-Jan,11,average,human decision maker,human decision maker,0.25
48,48,22,2-Jan,11,average,human decision maker,human decision maker,0.25
49,49,22,2-Jan,11,average,human decision maker,human decision maker,0.25
50,50,33,2-Jan,11,average,human decision maker,human decision maker,0.25
51,51,22,2-Jan,11,average,human decision maker,human decision maker,0.25
52,52,22,2-Jan,11,average,human decision maker,human decision maker,0.25
53,53,30,2-Jan,11,average,human decision maker,human decision maker,0.25
54,54,22,2-Jan,11,average,human decision maker,human decision maker,0.25
55,55,25,2-Jan,11,average,human decision maker,human decision maker,0.25
56,56,22,2-Jan,11,average,human decision maker,human decision maker,0.25
57,57,33,2-Jan,11,average,human decision maker,human decision maker,0.25
58,58,22,2-Jan,11,average,human decision maker,human decision maker,0.25
59,59,22,2-Jan,11,average,human decision maker,human decision maker,0.25
60,60,22,2-Jan,11,average,human decision maker,human decision maker,0.25
61,61,22,2-Jan,11,average,human decision maker,human decision maker,0.25
62,62,25,2-Jan,11,average,human decision maker,human decision maker,0.25
63,63,35,2-Jan,11,average,human decision maker,human decision maker,0.25
64,64,30,2-Jan,11,average,human decision maker,human decision maker,0.25
65,65,22,2-Jan,11,average,human decision maker,human decision maker,0.25
66,66,22,2-Jan,11,average,human decision maker,human decision maker,0.25
67,67,22,2-Jan,11,average,human decision maker,human decision maker,0.25
68,68,22,2-Jan,11,average,human decision maker,human decision maker,0.25
69,69,22,2-Jan,11,average,human decision maker,human decision maker,0.25
70,70,22,2-Jan,11,average,human decision maker,human decision maker,0.25
71,71,33,2-Jan,11,average,human decision maker,human decision maker,0.25
72,72,22,2-Jan,11,average,human decision maker,human decision maker,0.25
73,73,35,2-Jan,11,average,human decision maker,human decision maker,0.25
74,74,22,2-Jan,11,average,human decision maker,human decision maker,0.25
75,75,22,2-Jan,11,average,human decision maker,human decision maker,0.25
76,76,33,2-Jan,11,average,human decision maker,human decision maker,0.25
77,77,33,2-Jan,11,average,human decision maker,human decision maker,0.25
78,78,22,2-Jan,11,average,human decision maker,human decision maker,0.25
79,79,22,2-Jan,11,average,human decision maker,human decision maker,0.25
80,80,35,2-Jan,11,average,human decision maker,human decision maker,0.25
81,81,25,2-Jan,11,average,human decision maker,human decision maker,0.25
82,82,22,2-Jan,11,average,human decision maker,human decision maker,0.25
83,83,22,2-Jan,11,average,human decision maker,human decision maker,0.25
84,84,35,2-Jan,11,average,human decision maker,human decision maker,0.25
