,subject,response_raw,p_val,size,avg,act_as,play_against,temp,response
0,1,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
1,2,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
2,3,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
3,4,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
4,5,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
5,6,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
6,7,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
7,8,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
8,9,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
9,10,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
10,11,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
11,12,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
12,13,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
13,14,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
14,15,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
15,16,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
16,17,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
17,18,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
18,19,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
19,20,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
20,21,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
21,22,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
22,23,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
23,24,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
24,25,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
25,26,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
26,27,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
27,28,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
