subject,response,p_val,size,avg,act_as,play_against,temp
1,17,2-Jan,11,average,human decision maker,human decision maker,0.25
2,17,2-Jan,11,average,human decision maker,human decision maker,0.25
3,15,2-Jan,11,average,human decision maker,human decision maker,0.25
4,22,2-Jan,11,average,human decision maker,human decision maker,0.25
5,22,2-Jan,11,average,human decision maker,human decision maker,0.25
6,17,2-Jan,11,average,human decision maker,human decision maker,0.25
7,17,2-Jan,11,average,human decision maker,human decision maker,0.25
8,22,2-Jan,11,average,human decision maker,human decision maker,0.25
9,22,2-Jan,11,average,human decision maker,human decision maker,0.25
10,15,2-Jan,11,average,human decision maker,human decision maker,0.25
11,17,2-Jan,11,average,human decision maker,human decision maker,0.25
12,33,2-Jan,11,average,human decision maker,human decision maker,0.25
13,22,2-Jan,11,average,human decision maker,human decision maker,0.25
14,17,2-Jan,11,average,human decision maker,human decision maker,0.25
15,22,2-Jan,11,average,human decision maker,human decision maker,0.25
16,22,2-Jan,11,average,human decision maker,human decision maker,0.25
17,17,2-Jan,11,average,human decision maker,human decision maker,0.25
18,17,2-Jan,11,average,human decision maker,human decision maker,0.25
19,17,2-Jan,11,average,human decision maker,human decision maker,0.25
20,33,2-Jan,11,average,human decision maker,human decision maker,0.25
21,22,2-Jan,11,average,human decision maker,human decision maker,0.25
22,15,2-Jan,11,average,human decision maker,human decision maker,0.25
23,17,2-Jan,11,average,human decision maker,human decision maker,0.25
24,15,2-Jan,11,average,human decision maker,human decision maker,0.25
25,33,2-Jan,11,average,human decision maker,human decision maker,0.25
26,17,2-Jan,11,average,human decision maker,human decision maker,0.25
27,17,2-Jan,11,average,human decision maker,human decision maker,0.25
28,17,2-Jan,11,average,human decision maker,human decision maker,0.25
29,33,2-Jan,11,average,human decision maker,human decision maker,0.25
30,22,2-Jan,11,average,human decision maker,human decision maker,0.25
31,22,2-Jan,11,average,human decision maker,human decision maker,0.25
32,22,2-Jan,11,average,human decision maker,human decision maker,0.25
33,22,2-Jan,11,average,human decision maker,human decision maker,0.25
34,22,2-Jan,11,average,human decision maker,human decision maker,0.25
35,22,2-Jan,11,average,human decision maker,human decision maker,0.25
36,17,2-Jan,11,average,human decision maker,human decision maker,0.25
37,22,2-Jan,11,average,human decision maker,human decision maker,0.25
38,17,2-Jan,11,average,human decision maker,human decision maker,0.25
39,15,2-Jan,11,average,human decision maker,human decision maker,0.25
40,15,2-Jan,11,average,human decision maker,human decision maker,0.25
41,17,2-Jan,11,average,human decision maker,human decision maker,0.25
42,15,2-Jan,11,average,human decision maker,human decision maker,0.25
43,22,2-Jan,11,average,human decision maker,human decision maker,0.25
44,17,2-Jan,11,average,human decision maker,human decision maker,0.25
45,17,2-Jan,11,average,human decision maker,human decision maker,0.25
46,15,2-Jan,11,average,human decision maker,human decision maker,0.25
47,17,2-Jan,11,average,human decision maker,human decision maker,0.25
48,15,2-Jan,11,average,human decision maker,human decision maker,0.25
49,22,2-Jan,11,average,human decision maker,human decision maker,0.25
50,15,2-Jan,11,average,human decision maker,human decision maker,0.25
51,17,2-Jan,11,average,human decision maker,human decision maker,0.25
52,22,2-Jan,11,average,human decision maker,human decision maker,0.25
53,22,2-Jan,11,average,human decision maker,human decision maker,0.25
54,15,2-Jan,11,average,human decision maker,human decision maker,0.25
55,22,2-Jan,11,average,human decision maker,human decision maker,0.25
56,22,2-Jan,11,average,human decision maker,human decision maker,0.25
57,22,2-Jan,11,average,human decision maker,human decision maker,0.25
58,22,2-Jan,11,average,human decision maker,human decision maker,0.25
59,17,2-Jan,11,average,human decision maker,human decision maker,0.25
60,17,2-Jan,11,average,human decision maker,human decision maker,0.25
61,15,2-Jan,11,average,human decision maker,human decision maker,0.25
