subject,response,p_val,size,avg,act_as,play_against,temp
1,45,2-Jan,11,average,human decision maker,human decision maker,0.5
2,45,2-Jan,11,average,human decision maker,human decision maker,0.5
3,45,2-Jan,11,average,human decision maker,human decision maker,0.5
4,50,2-Jan,11,average,human decision maker,human decision maker,0.5
5,50,2-Jan,11,average,human decision maker,human decision maker,0.5
6,40,2-Jan,11,average,human decision maker,human decision maker,0.5
7,40,2-Jan,11,average,human decision maker,human decision maker,0.5
8,50,2-Jan,11,average,human decision maker,human decision maker,0.5
9,45,2-Jan,11,average,human decision maker,human decision maker,0.5
10,45,2-Jan,11,average,human decision maker,human decision maker,0.5
11,45,2-Jan,11,average,human decision maker,human decision maker,0.5
12,45,2-Jan,11,average,human decision maker,human decision maker,0.5
13,45,2-Jan,11,average,human decision maker,human decision maker,0.5
14,45,2-Jan,11,average,human decision maker,human decision maker,0.5
15,50,2-Jan,11,average,human decision maker,human decision maker,0.5
16,50,2-Jan,11,average,human decision maker,human decision maker,0.5
17,40,2-Jan,11,average,human decision maker,human decision maker,0.5
18,45,2-Jan,11,average,human decision maker,human decision maker,0.5
19,45,2-Jan,11,average,human decision maker,human decision maker,0.5
20,45,2-Jan,11,average,human decision maker,human decision maker,0.5
21,50,2-Jan,11,average,human decision maker,human decision maker,0.5
22,50,2-Jan,11,average,human decision maker,human decision maker,0.5
23,40,2-Jan,11,average,human decision maker,human decision maker,0.5
24,45,2-Jan,11,average,human decision maker,human decision maker,0.5
25,40,2-Jan,11,average,human decision maker,human decision maker,0.5
26,50,2-Jan,11,average,human decision maker,human decision maker,0.5
27,45,2-Jan,11,average,human decision maker,human decision maker,0.5
28,45,2-Jan,11,average,human decision maker,human decision maker,0.5
29,45,2-Jan,11,average,human decision maker,human decision maker,0.5
30,40,2-Jan,11,average,human decision maker,human decision maker,0.5
31,50,2-Jan,11,average,human decision maker,human decision maker,0.5
32,50,2-Jan,11,average,human decision maker,human decision maker,0.5
33,45,2-Jan,11,average,human decision maker,human decision maker,0.5
34,50,2-Jan,11,average,human decision maker,human decision maker,0.5
35,45,2-Jan,11,average,human decision maker,human decision maker,0.5
36,45,2-Jan,11,average,human decision maker,human decision maker,0.5
37,50,2-Jan,11,average,human decision maker,human decision maker,0.5
38,50,2-Jan,11,average,human decision maker,human decision maker,0.5
39,45,2-Jan,11,average,human decision maker,human decision maker,0.5
40,40,2-Jan,11,average,human decision maker,human decision maker,0.5
41,40,2-Jan,11,average,human decision maker,human decision maker,0.5
42,45,2-Jan,11,average,human decision maker,human decision maker,0.5
43,45,2-Jan,11,average,human decision maker,human decision maker,0.5
44,45,2-Jan,11,average,human decision maker,human decision maker,0.5
45,50,2-Jan,11,average,human decision maker,human decision maker,0.5
46,50,2-Jan,11,average,human decision maker,human decision maker,0.5
47,40,2-Jan,11,average,human decision maker,human decision maker,0.5
48,45,2-Jan,11,average,human decision maker,human decision maker,0.5
49,40,2-Jan,11,average,human decision maker,human decision maker,0.5
50,45,2-Jan,11,average,human decision maker,human decision maker,0.5
51,50,2-Jan,11,average,human decision maker,human decision maker,0.5
52,45,2-Jan,11,average,human decision maker,human decision maker,0.5
53,45,2-Jan,11,average,human decision maker,human decision maker,0.5
54,40,2-Jan,11,average,human decision maker,human decision maker,0.5
55,45,2-Jan,11,average,human decision maker,human decision maker,0.5
56,50,2-Jan,11,average,human decision maker,human decision maker,0.5
57,40,2-Jan,11,average,human decision maker,human decision maker,0.5
58,40,2-Jan,11,average,human decision maker,human decision maker,0.5
59,40,2-Jan,11,average,human decision maker,human decision maker,0.5
60,45,2-Jan,11,average,human decision maker,human decision maker,0.5
61,45,2-Jan,11,average,human decision maker,human decision maker,0.5
62,40,2-Jan,11,average,human decision maker,human decision maker,0.5
63,45,2-Jan,11,average,human decision maker,human decision maker,0.5
64,50,2-Jan,11,average,human decision maker,human decision maker,0.5
65,50,2-Jan,11,average,human decision maker,human decision maker,0.5
66,45,2-Jan,11,average,human decision maker,human decision maker,0.5
67,45,2-Jan,11,average,human decision maker,human decision maker,0.5
68,45,2-Jan,11,average,human decision maker,human decision maker,0.5
69,45,2-Jan,11,average,human decision maker,human decision maker,0.5
70,45,2-Jan,11,average,human decision maker,human decision maker,0.5
71,45,2-Jan,11,average,human decision maker,human decision maker,0.5
72,45,2-Jan,11,average,human decision maker,human decision maker,0.5
73,45,2-Jan,11,average,human decision maker,human decision maker,0.5
74,45,2-Jan,11,average,human decision maker,human decision maker,0.5
75,45,2-Jan,11,average,human decision maker,human decision maker,0.5
76,40,2-Jan,11,average,human decision maker,human decision maker,0.5
77,45,2-Jan,11,average,human decision maker,human decision maker,0.5
78,45,2-Jan,11,average,human decision maker,human decision maker,0.5
79,45,2-Jan,11,average,human decision maker,human decision maker,0.5
80,45,2-Jan,11,average,human decision maker,human decision maker,0.5
81,50,2-Jan,11,average,human decision maker,human decision maker,0.5
82,45,2-Jan,11,average,human decision maker,human decision maker,0.5
83,45,2-Jan,11,average,human decision maker,human decision maker,0.5
84,45,2-Jan,11,average,human decision maker,human decision maker,0.5
85,45,2-Jan,11,average,human decision maker,human decision maker,0.5
86,45,2-Jan,11,average,human decision maker,human decision maker,0.5
87,45,2-Jan,11,average,human decision maker,human decision maker,0.5
88,45,2-Jan,11,average,human decision maker,human decision maker,0.5
89,50,2-Jan,11,average,human decision maker,human decision maker,0.5
90,40,2-Jan,11,average,human decision maker,human decision maker,0.5
91,45,2-Jan,11,average,human decision maker,human decision maker,0.5
92,45,2-Jan,11,average,human decision maker,human decision maker,0.5
93,45,2-Jan,11,average,human decision maker,human decision maker,0.5
94,45,2-Jan,11,average,human decision maker,human decision maker,0.5
95,50,2-Jan,11,average,human decision maker,human decision maker,0.5
96,45,2-Jan,11,average,human decision maker,human decision maker,0.5
