"X","subject","response","p_val","size","avg","act_as","play_against","temp"
1,1,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
2,2,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
3,3,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
4,4,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
5,5,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
6,6,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
7,7,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
8,8,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
9,9,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
10,10,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
11,11,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
12,12,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
13,13,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
14,14,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
15,15,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
16,16,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
17,17,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
18,18,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
19,19,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
20,20,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
21,21,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
22,22,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
23,23,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
24,24,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
25,25,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
26,26,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
27,27,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
28,28,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
29,29,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
30,30,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
31,31,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
