subject,response,p_val,size,avg,act_as,play_against,temp
1,0,3-Feb,2,average,human decision maker,human decision maker,1
2,0,3-Feb,2,average,human decision maker,human decision maker,1
3,0,3-Feb,2,average,human decision maker,human decision maker,1
4,0,3-Feb,2,average,human decision maker,human decision maker,1
5,0,3-Feb,2,average,human decision maker,human decision maker,1
6,0,3-Feb,2,average,human decision maker,human decision maker,1
7,0,3-Feb,2,average,human decision maker,human decision maker,1
8,0,3-Feb,2,average,human decision maker,human decision maker,1
9,0,3-Feb,2,average,human decision maker,human decision maker,1
10,0,3-Feb,2,average,human decision maker,human decision maker,1
11,0,3-Feb,2,average,human decision maker,human decision maker,1
12,0,3-Feb,2,average,human decision maker,human decision maker,1
13,0,3-Feb,2,average,human decision maker,human decision maker,1
14,25,3-Feb,2,average,human decision maker,human decision maker,1
15,22,3-Feb,2,average,human decision maker,human decision maker,1
16,0,3-Feb,2,average,human decision maker,human decision maker,1
17,17,3-Feb,2,average,human decision maker,human decision maker,1
18,0,3-Feb,2,average,human decision maker,human decision maker,1
19,0,3-Feb,2,average,human decision maker,human decision maker,1
20,0,3-Feb,2,average,human decision maker,human decision maker,1
21,0,3-Feb,2,average,human decision maker,human decision maker,1
22,0,3-Feb,2,average,human decision maker,human decision maker,1
23,0,3-Feb,2,average,human decision maker,human decision maker,1
24,25,3-Feb,2,average,human decision maker,human decision maker,1
25,0,3-Feb,2,average,human decision maker,human decision maker,1
26,0,3-Feb,2,average,human decision maker,human decision maker,1
27,0,3-Feb,2,average,human decision maker,human decision maker,1
28,0,3-Feb,2,average,human decision maker,human decision maker,1
29,0,3-Feb,2,average,human decision maker,human decision maker,1
30,0,3-Feb,2,average,human decision maker,human decision maker,1
31,0,3-Feb,2,average,human decision maker,human decision maker,1
32,0,3-Feb,2,average,human decision maker,human decision maker,1
33,0,3-Feb,2,average,human decision maker,human decision maker,1
34,25,3-Feb,2,average,human decision maker,human decision maker,1
35,0,3-Feb,2,average,human decision maker,human decision maker,1
36,0,3-Feb,2,average,human decision maker,human decision maker,1
37,0,3-Feb,2,average,human decision maker,human decision maker,1
38,0,3-Feb,2,average,human decision maker,human decision maker,1
39,0,3-Feb,2,average,human decision maker,human decision maker,1
40,0,3-Feb,2,average,human decision maker,human decision maker,1
41,0,3-Feb,2,average,human decision maker,human decision maker,1
42,0,3-Feb,2,average,human decision maker,human decision maker,1
43,0,3-Feb,2,average,human decision maker,human decision maker,1
44,0,3-Feb,2,average,human decision maker,human decision maker,1
45,0,3-Feb,2,average,human decision maker,human decision maker,1
46,0,3-Feb,2,average,human decision maker,human decision maker,1
47,22,3-Feb,2,average,human decision maker,human decision maker,1
48,0,3-Feb,2,average,human decision maker,human decision maker,1
49,0,3-Feb,2,average,human decision maker,human decision maker,1
50,22,3-Feb,2,average,human decision maker,human decision maker,1
51,0,3-Feb,2,average,human decision maker,human decision maker,1
52,22,3-Feb,2,average,human decision maker,human decision maker,1
53,0,3-Feb,2,average,human decision maker,human decision maker,1
54,0,3-Feb,2,average,human decision maker,human decision maker,1
55,0,3-Feb,2,average,human decision maker,human decision maker,1
56,0,3-Feb,2,average,human decision maker,human decision maker,1
57,0,3-Feb,2,average,human decision maker,human decision maker,1
58,0,3-Feb,2,average,human decision maker,human decision maker,1
59,25,3-Feb,2,average,human decision maker,human decision maker,1
60,0,3-Feb,2,average,human decision maker,human decision maker,1
61,0,3-Feb,2,average,human decision maker,human decision maker,1
62,0,3-Feb,2,average,human decision maker,human decision maker,1
63,0,3-Feb,2,average,human decision maker,human decision maker,1
64,0,3-Feb,2,average,human decision maker,human decision maker,1
65,0,3-Feb,2,average,human decision maker,human decision maker,1
66,0,3-Feb,2,average,human decision maker,human decision maker,1
67,0,3-Feb,2,average,human decision maker,human decision maker,1
68,0,3-Feb,2,average,human decision maker,human decision maker,1
69,0,3-Feb,2,average,human decision maker,human decision maker,1
70,0,3-Feb,2,average,human decision maker,human decision maker,1
71,0,3-Feb,2,average,human decision maker,human decision maker,1
72,0,3-Feb,2,average,human decision maker,human decision maker,1
73,0,3-Feb,2,average,human decision maker,human decision maker,1
74,0,3-Feb,2,average,human decision maker,human decision maker,1
75,0,3-Feb,2,average,human decision maker,human decision maker,1
76,0,3-Feb,2,average,human decision maker,human decision maker,1
77,0,3-Feb,2,average,human decision maker,human decision maker,1
78,0,3-Feb,2,average,human decision maker,human decision maker,1
