session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp
1,1,50,23,25,20,12,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,2,50,30,25,17,12,7,5,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,3,50,35,25,15,10,7,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,4,50,28,25,20,12,7,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,5,50,35,25,18,10,7,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,6,35,43,25,15,10,7,3,1,1,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,7,50,35,25,20,10,5,0,2,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,8,33,45,25,15,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,9,50,35,25,15,10,5,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,10,33,25,25,15,10,5,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
1,11,50,25,25,15,11,7,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,1,50,30,30,15,10,5,0,2,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,2,50,30,20,18,12,7,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,3,50,35,25,18,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,4,50,35,25,17,12,5,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,5,50,45,20,18,10,5,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,6,33,35,25,20,10,7,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,7,50,25,25,20,10,7,5,2,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,8,33,40,25,15,12,5,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,9,50,30,22,18,10,7,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,10,50,25,25,18,11,7,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
2,11,50,35,25,20,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,1,50,35,25,20,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,2,33,30,25,20,10,5,5,2,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,3,50,45,24,17,10,7,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,4,33,25,22,15,12,5,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,5,35,25,25,17,10,7,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,6,50,25,25,15,10,5,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,7,35,35,25,17,10,5,1,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,8,50,20,25,20,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,9,50,30,22,18,12,6,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,10,33,35,25,20,10,5,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
3,11,33,35,25,15,10,5,3,2,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,1,45,30,25,20,10,5,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,2,45,35,25,15,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,3,45,35,25,18,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,4,50,35,25,20,10,7,0,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,5,50,35,25,20,10,7,3,1,1,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,6,50,32,25,18,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,7,45,35,22,18,12,7,2,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
4,8,50,35,25,17,10,5,3,1,0,0,3-Feb,11,average,human decision maker,human decision makers,random,feedback,0.5
