,session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,temp,random,feedback
1,1,1,33,22,31,22,7,5,7,5,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
2,1,2,33,22,15,10,15,5,8,5,3,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
3,1,3,33,22,15,33,15,10,8,2,3,0,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
4,1,4,33,22,33,22,15,5,3,2,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
5,1,5,33,50,15,22,7,5,3,5,3,0,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
6,1,6,33,22,15,22,15,5,7,5,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
7,1,7,33,50,15,22,15,5,7,2,1,0,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
8,1,8,33,50,33,23,15,12,3,2,3,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
9,1,9,33,22,33,10,18,10,7,5,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
10,1,10,33,50,15,22,7,10,7,5,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
11,1,11,33,22,15,10,15,10,3,5,3,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
12,2,1,33,50,55,10,7,10,3,5,1,0,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
13,2,2,33,22,15,22,15,5,7,5,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
14,2,3,33,22,33,22,7,10,7,5,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
15,2,4,33,50,15,10,18,5,7,2,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
16,2,5,33,22,33,10,7,5,7,2,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
17,2,6,33,22,15,33,15,5,7,2,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
18,2,7,33,50,43,22,15,5,8,5,3,0,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
19,2,8,33,22,15,10,18,5,7,2,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
20,2,9,33,22,33,23,7,10,8,2,3,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
21,2,10,33,22,33,10,15,5,7,2,3,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
22,2,11,33,50,15,10,7,12,8,2,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
23,3,1,22,22,15,10,15,10,3,5,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
24,3,2,33,22,33,10,15,5,8,2,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
25,3,3,33,50,33,10,18,5,3,5,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
26,3,4,33,22,45,10,18,5,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
27,3,5,33,50,15,10,7,5,3,2,3,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
28,3,6,33,50,15,10,15,5,3,2,1,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
29,3,7,33,50,15,23,15,5,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
30,3,8,33,50,15,22,7,5,7,2,1,1,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
31,3,9,33,22,15,10,7,5,3,5,1,0,3-Feb,11,average,human decision maker,human decision makers,0.25,random,feedback
