session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp
1,1,33,50,25,17,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,2,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,3,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,5,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,6,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,7,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,8,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,9,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,11,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,1,33,50,25,17,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,2,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,3,33,50,25,17,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,4,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,6,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,7,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,9,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,10,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,11,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,1,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,2,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,3,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,4,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,5,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,6,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,7,33,50,25,42,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,9,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,10,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,11,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,1,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,2,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,3,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,5,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,7,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,8,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,9,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,10,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,11,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,1,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,2,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,3,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,4,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,5,33,50,25,17,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,6,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,7,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,8,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,9,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,11,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,1,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,2,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,3,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,5,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,6,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,7,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,9,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,10,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,11,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,1,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,2,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,3,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,4,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,6,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,7,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,9,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,10,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,11,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,1,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,2,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,3,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
