session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp
1,1,20,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,2,60,50,62,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,3,25,52,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,4,55,60,65,75,80,85,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,5,22,60,65,70,90,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,6,25,50,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,7,53,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,8,50,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,9,60,50,40,70,80,95,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,10,25,50,65,75,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,11,60,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,1,60,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,2,25,60,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,3,20,50,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,4,60,50,65,75,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,5,60,50,40,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,6,53,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,7,25,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,8,25,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,9,53,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,10,60,50,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
2,11,25,50,65,70,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,1,25,50,65,70,80,85,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,2,20,60,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,3,50,60,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,4,22,50,65,75,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,5,25,50,65,70,90,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,6,50,50,65,70,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,7,60,60,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,8,60,50,65,70,80,90,98,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,9,55,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,10,25,60,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
3,11,25,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,1,50,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,2,25,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,3,25,50,65,75,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,4,25,60,65,70,90,95,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,5,53,60,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,6,20,52,40,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,7,25,50,65,75,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,8,25,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,9,55,60,65,75,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,10,60,50,40,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
4,11,60,52,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,1,25,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,2,60,50,62,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,3,25,50,62,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,4,20,50,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,5,60,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,6,60,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,7,25,50,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,8,25,50,65,75,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,9,53,50,65,70,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,10,25,50,65,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
5,11,60,50,65,75,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,1,60,50,40,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,2,22,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,3,53,52,40,75,80,95,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,4,20,50,65,70,80,85,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,5,60,50,65,75,80,90,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,6,22,60,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,7,20,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,8,25,60,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,9,25,50,65,75,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,10,25,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
6,11,50,60,65,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,1,20,50,65,70,80,95,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,2,60,50,65,75,90,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,3,25,50,65,75,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,4,60,50,40,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,5,60,52,65,75,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,6,22,50,65,75,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,7,25,50,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,8,20,50,65,70,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,9,50,50,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,10,55,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
7,11,25,50,65,70,90,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,1,55,52,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,2,60,50,65,70,90,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,3,60,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,4,20,50,40,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,5,53,50,65,75,80,85,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
