,subject,response,act_as,play_against,temp
1,1,20,human decision maker,human decision maker,0.25
2,2,19,human decision maker,human decision maker,0.25
3,3,20,human decision maker,human decision maker,0.25
4,4,20,human decision maker,human decision maker,0.25
5,5,20,human decision maker,human decision maker,0.25
6,6,20,human decision maker,human decision maker,0.25
7,7,20,human decision maker,human decision maker,0.25
8,8,20,human decision maker,human decision maker,0.25
9,9,20,human decision maker,human decision maker,0.25
10,10,20,human decision maker,human decision maker,0.25
11,11,20,human decision maker,human decision maker,0.25
12,12,20,human decision maker,human decision maker,0.25
13,13,20,human decision maker,human decision maker,0.25
14,14,20,human decision maker,human decision maker,0.25
15,15,20,human decision maker,human decision maker,0.25
16,16,20,human decision maker,human decision maker,0.25
17,17,20,human decision maker,human decision maker,0.25
18,18,20,human decision maker,human decision maker,0.25
19,19,20,human decision maker,human decision maker,0.25
20,20,20,human decision maker,human decision maker,0.25
21,21,20,human decision maker,human decision maker,0.25
22,22,20,human decision maker,human decision maker,0.25
23,23,20,human decision maker,human decision maker,0.25
24,24,20,human decision maker,human decision maker,0.25
25,25,20,human decision maker,human decision maker,0.25
26,26,20,human decision maker,human decision maker,0.25
27,27,20,human decision maker,human decision maker,0.25
28,28,20,human decision maker,human decision maker,0.25
29,29,19,human decision maker,human decision maker,0.25
30,30,20,human decision maker,human decision maker,0.25
31,31,20,human decision maker,human decision maker,0.25
32,32,20,human decision maker,human decision maker,0.25
33,33,20,human decision maker,human decision maker,0.25
34,34,20,human decision maker,human decision maker,0.25
35,35,20,human decision maker,human decision maker,0.25
36,36,12,human decision maker,human decision maker,0.25
37,37,20,human decision maker,human decision maker,0.25
38,38,20,human decision maker,human decision maker,0.25
39,39,20,human decision maker,human decision maker,0.25
40,40,20,human decision maker,human decision maker,0.25
41,41,20,human decision maker,human decision maker,0.25
42,42,20,human decision maker,human decision maker,0.25
43,43,20,human decision maker,human decision maker,0.25
44,44,20,human decision maker,human decision maker,0.25
45,45,20,human decision maker,human decision maker,0.25
46,46,20,human decision maker,human decision maker,0.25
47,47,20,human decision maker,human decision maker,0.25
48,48,20,human decision maker,human decision maker,0.25
49,49,20,human decision maker,human decision maker,0.25
50,50,20,human decision maker,human decision maker,0.25
51,51,20,human decision maker,human decision maker,0.25
52,52,20,human decision maker,human decision maker,0.25
53,53,20,human decision maker,human decision maker,0.25
54,54,20,human decision maker,human decision maker,0.25
55,55,20,human decision maker,human decision maker,0.25
56,56,20,human decision maker,human decision maker,0.25
57,57,20,human decision maker,human decision maker,0.25
58,58,20,human decision maker,human decision maker,0.25
59,59,20,human decision maker,human decision maker,0.25
60,60,20,human decision maker,human decision maker,0.25
61,61,20,human decision maker,human decision maker,0.25
62,62,20,human decision maker,human decision maker,0.25
63,63,20,human decision maker,human decision maker,0.25
64,64,20,human decision maker,human decision maker,0.25
65,65,20,human decision maker,human decision maker,0.25
66,66,20,human decision maker,human decision maker,0.25
67,67,20,human decision maker,human decision maker,0.25
68,68,20,human decision maker,human decision maker,0.25
69,69,20,human decision maker,human decision maker,0.25
70,70,20,human decision maker,human decision maker,0.25
71,71,20,human decision maker,human decision maker,0.25
72,72,20,human decision maker,human decision maker,0.25
73,73,20,human decision maker,human decision maker,0.25
74,74,20,human decision maker,human decision maker,0.25
75,75,20,human decision maker,human decision maker,0.25
