,subject,act_as,play_against,temp,response
1,1,human decision maker,human decision maker,0.5,19
2,2,human decision maker,human decision maker,0.5,19
3,3,human decision maker,human decision maker,0.5,19
4,4,human decision maker,human decision maker,0.5,19
5,5,human decision maker,human decision maker,0.5,19
6,6,human decision maker,human decision maker,0.5,19
7,7,human decision maker,human decision maker,0.5,16
8,8,human decision maker,human decision maker,0.5,19
9,9,human decision maker,human decision maker,0.5,19
10,10,human decision maker,human decision maker,0.5,15
11,11,human decision maker,human decision maker,0.5,19
12,12,human decision maker,human decision maker,0.5,19
13,13,human decision maker,human decision maker,0.5,19
14,14,human decision maker,human decision maker,0.5,16
15,15,human decision maker,human decision maker,0.5,16
16,16,human decision maker,human decision maker,0.5,19
17,17,human decision maker,human decision maker,0.5,19
18,18,human decision maker,human decision maker,0.5,19
19,19,human decision maker,human decision maker,0.5,19
20,20,human decision maker,human decision maker,0.5,19
21,21,human decision maker,human decision maker,0.5,16
22,22,human decision maker,human decision maker,0.5,16
23,23,human decision maker,human decision maker,0.5,16
24,24,human decision maker,human decision maker,0.5,19
25,25,human decision maker,human decision maker,0.5,20
26,26,human decision maker,human decision maker,0.5,20
27,27,human decision maker,human decision maker,0.5,20
28,28,human decision maker,human decision maker,0.5,19
29,29,human decision maker,human decision maker,0.5,19
30,30,human decision maker,human decision maker,0.5,19
31,31,human decision maker,human decision maker,0.5,19
32,32,human decision maker,human decision maker,0.5,16
33,33,human decision maker,human decision maker,0.5,16
34,34,human decision maker,human decision maker,0.5,15
35,35,human decision maker,human decision maker,0.5,19
36,36,human decision maker,human decision maker,0.5,20
37,37,human decision maker,human decision maker,0.5,19
38,38,human decision maker,human decision maker,0.5,19
39,39,human decision maker,human decision maker,0.5,16
40,40,human decision maker,human decision maker,0.5,19
41,41,human decision maker,human decision maker,0.5,16
42,42,human decision maker,human decision maker,0.5,19
43,43,human decision maker,human decision maker,0.5,19
44,44,human decision maker,human decision maker,0.5,16
45,45,human decision maker,human decision maker,0.5,20
46,46,human decision maker,human decision maker,0.5,16
47,47,human decision maker,human decision maker,0.5,19
48,48,human decision maker,human decision maker,0.5,19
