,subject,response_raw,act_as,play_against,temp,response
1,1,[19],human decision maker,human decision maker,1,19
2,2,[19],human decision maker,human decision maker,1,19
3,3,[20],human decision maker,human decision maker,1,20
4,4,[20],human decision maker,human decision maker,1,20
5,5,[20],human decision maker,human decision maker,1,20
6,6,[19],human decision maker,human decision maker,1,19
7,7,[20],human decision maker,human decision maker,1,20
8,8,[19],human decision maker,human decision maker,1,19
9,9,[19],human decision maker,human decision maker,1,19
10,10,[19],human decision maker,human decision maker,1,19
11,11,[19],human decision maker,human decision maker,1,19
12,12,[20],human decision maker,human decision maker,1,20
13,13,[20],human decision maker,human decision maker,1,20
14,14,[19],human decision maker,human decision maker,1,19
15,15,[19],human decision maker,human decision maker,1,19
16,16,[19],human decision maker,human decision maker,1,19
17,17,[19],human decision maker,human decision maker,1,19
18,18,[19],human decision maker,human decision maker,1,19
19,19,[19],human decision maker,human decision maker,1,19
20,20,[19],human decision maker,human decision maker,1,19
21,21,[19],human decision maker,human decision maker,1,19
22,22,[19],human decision maker,human decision maker,1,19
23,23,[19],human decision maker,human decision maker,1,19
24,24,[19],human decision maker,human decision maker,1,19
25,25,[19],human decision maker,human decision maker,1,19
26,26,[20],human decision maker,human decision maker,1,20
27,27,[20],human decision maker,human decision maker,1,20
28,28,[20],human decision maker,human decision maker,1,20
29,29,[20],human decision maker,human decision maker,1,20
30,30,[19],human decision maker,human decision maker,1,19
31,31,[19],human decision maker,human decision maker,1,19
32,32,[19],human decision maker,human decision maker,1,19
33,33,[19],human decision maker,human decision maker,1,19
34,34,[19],human decision maker,human decision maker,1,19
35,35,[20],human decision maker,human decision maker,1,20
36,36,[19],human decision maker,human decision maker,1,19
37,37,[19],human decision maker,human decision maker,1,19
38,38,[19],human decision maker,human decision maker,1,19
39,39,[19],human decision maker,human decision maker,1,19
40,40,[19],human decision maker,human decision maker,1,19
41,41,[19],human decision maker,human decision maker,1,19
42,42,[19],human decision maker,human decision maker,1,19
43,43,[20],human decision maker,human decision maker,1,20
44,44,[19],human decision maker,human decision maker,1,19
45,45,[19],human decision maker,human decision maker,1,19
46,46,[19],human decision maker,human decision maker,1,19
47,47,[20],human decision maker,human decision maker,1,20
48,48,[19],human decision maker,human decision maker,1,19
49,49,[19],human decision maker,human decision maker,1,19
50,50,[19],human decision maker,human decision maker,1,19
51,51,[19],human decision maker,human decision maker,1,19
52,52,[19],human decision maker,human decision maker,1,19
53,53,[20],human decision maker,human decision maker,1,20
54,54,[19],human decision maker,human decision maker,1,19
55,55,[20],human decision maker,human decision maker,1,20
56,56,[19],human decision maker,human decision maker,1,19
57,57,[19],human decision maker,human decision maker,1,19
58,58,[19],human decision maker,human decision maker,1,19
59,59,[20],human decision maker,human decision maker,1,20
60,60,[20],human decision maker,human decision maker,1,20
61,61,[19],human decision maker,human decision maker,1,19
62,62,[19],human decision maker,human decision maker,1,19
63,63,[19],human decision maker,human decision maker,1,19
64,64,[19],human decision maker,human decision maker,1,19
65,65,[19],human decision maker,human decision maker,1,19
66,66,[19],human decision maker,human decision maker,1,19
67,67,[19],human decision maker,human decision maker,1,19
68,68,[20],human decision maker,human decision maker,1,20
69,69,[19],human decision maker,human decision maker,1,19
70,70,[19],human decision maker,human decision maker,1,19
71,71,[20],human decision maker,human decision maker,1,20
72,72,[19],human decision maker,human decision maker,1,19
73,73,[19],human decision maker,human decision maker,1,19
74,74,[19],human decision maker,human decision maker,1,19
75,75,[19],human decision maker,human decision maker,1,19
76,76,[19],human decision maker,human decision maker,1,19
77,77,[20],human decision maker,human decision maker,1,20
78,78,[19],human decision maker,human decision maker,1,19
79,79,[20],human decision maker,human decision maker,1,20
80,80,[20],human decision maker,human decision maker,1,20
81,81,[20],human decision maker,human decision maker,1,20
82,82,[20],human decision maker,human decision maker,1,20
83,83,[19],human decision maker,human decision maker,1,19
84,84,[19],human decision maker,human decision maker,1,19
85,85,[19],human decision maker,human decision maker,1,19
86,86,[19],human decision maker,human decision maker,1,19
87,87,[19],human decision maker,human decision maker,1,19
88,88,[19],human decision maker,human decision maker,1,19
89,89,[19],human decision maker,human decision maker,1,19
90,90,[19],human decision maker,human decision maker,1,19
91,91,[20],human decision maker,human decision maker,1,20
92,92,[19],human decision maker,human decision maker,1,19
93,93,[19],human decision maker,human decision maker,1,19
94,94,[19],human decision maker,human decision maker,1,19
95,95,[19],human decision maker,human decision maker,1,19
96,96,[20],human decision maker,human decision maker,1,20
97,97,[20],human decision maker,human decision maker,1,20
98,98,[20],human decision maker,human decision maker,1,20
99,99,[19],human decision maker,human decision maker,1,19
100,100,[19],human decision maker,human decision maker,1,19
