subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,act_as,random,feedback,play_against,temp
1,650,350,750,150,150,100,400,150,500,350,350,350,390,350,390,450,human decision maker,fixed,no_feedback,human decision makers,1
2,650,350,750,500,900,900,390,200,143,300,300,300,300,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
3,650,210,473,500,100,100,390,100,500,300,300,300,390,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
4,650,350,500,500,100,100,780,100,500,630,350,500,300,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
5,650,350,430,150,150,100,390,150,150,300,350,350,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
6,650,350,750,150,450,250,390,150,150,630,350,500,650,350,650,300,human decision maker,fixed,no_feedback,human decision makers,1
7,650,350,750,150,100,100,390,150,450,630,500,300,300,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
8,650,350,750,150,100,100,390,150,150,300,300,300,300,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
9,650,100,600,500,100,100,780,100,500,300,300,300,780,100,780,500,human decision maker,fixed,no_feedback,human decision makers,1
10,650,350,750,500,100,100,900,100,350,300,300,350,900,350,900,500,human decision maker,fixed,no_feedback,human decision makers,1
11,650,350,600,400,250,150,650,150,400,600,350,350,390,350,390,400,human decision maker,fixed,no_feedback,human decision makers,1
12,650,100,750,100,100,100,390,100,500,630,300,300,780,350,300,450,human decision maker,fixed,no_feedback,human decision makers,1
13,650,350,750,375,100,100,390,100,500,630,300,300,900,100,900,500,human decision maker,fixed,no_feedback,human decision makers,1
14,650,350,600,150,150,250,780,150,450,630,350,300,780,350,780,300,human decision maker,fixed,no_feedback,human decision makers,1
15,650,350,750,500,100,100,390,150,500,300,300,300,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
16,650,210,600,100,100,100,780,150,450,300,300,300,300,100,507,300,human decision maker,fixed,no_feedback,human decision makers,1
17,650,350,750,100,100,100,429,100,450,350,350,300,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
18,390,210,450,150,100,100,390,150,150,350,350,350,390,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
19,650,100,750,150,100,100,780,200,150,300,300,300,300,100,780,500,human decision maker,fixed,no_feedback,human decision makers,1
20,650,350,450,150,100,450,780,150,150,300,300,350,650,350,650,300,human decision maker,fixed,no_feedback,human decision makers,1
21,650,350,600,150,250,250,650,250,150,350,350,350,650,350,650,300,human decision maker,fixed,no_feedback,human decision makers,1
22,650,100,750,200,100,100,780,150,150,300,300,300,300,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
23,520,350,750,150,250,250,390,150,500,350,300,300,780,300,300,300,human decision maker,fixed,no_feedback,human decision makers,1
24,390,350,750,500,100,100,900,150,500,350,350,350,390,100,300,450,human decision maker,fixed,no_feedback,human decision makers,1
25,650,350,750,150,250,100,780,150,143,630,500,300,300,500,780,500,human decision maker,fixed,no_feedback,human decision makers,1
26,650,100,600,500,250,100,650,250,500,455,300,300,300,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
27,650,105,750,150,100,100,650,150,150,630,350,300,300,100,300,450,human decision maker,fixed,no_feedback,human decision makers,1
28,650,350,750,150,100,250,390,250,500,300,300,350,300,300,300,300,human decision maker,fixed,no_feedback,human decision makers,1
29,650,350,430,500,300,250,390,150,150,300,350,300,300,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
30,650,100,750,500,100,100,780,150,150,630,350,300,390,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
31,390,350,750,150,250,250,780,150,143,630,300,350,780,350,780,450,human decision maker,fixed,no_feedback,human decision makers,1
32,650,350,750,150,100,100,780,150,100,350,350,350,300,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
33,650,350,450,150,250,100,390,200,150,350,430,350,390,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
34,650,350,750,150,250,250,390,150,450,300,350,300,390,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
35,390,350,750,150,100,100,390,200,500,300,350,300,300,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
36,650,350,750,150,450,100,390,150,150,630,350,300,300,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
37,650,350,750,500,100,250,400,150,150,350,300,350,390,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
38,650,350,750,400,250,100,390,200,500,630,300,300,780,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
39,650,350,750,150,100,100,390,100,500,630,350,300,780,300,300,500,human decision maker,fixed,no_feedback,human decision makers,1
40,650,350,750,150,100,100,780,100,150,630,300,350,780,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
41,650,210,600,150,100,100,390,100,350,630,300,500,390,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
42,650,100,750,500,250,100,780,150,150,600,350,350,300,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
43,650,350,750,150,100,100,390,150,500,630,350,300,780,300,650,500,human decision maker,fixed,no_feedback,human decision makers,1
44,650,350,750,150,100,100,429,200,150,300,300,300,390,350,390,500,human decision maker,fixed,no_feedback,human decision makers,1
45,650,350,600,150,100,450,390,150,500,300,350,350,780,100,650,500,human decision maker,fixed,no_feedback,human decision makers,1
46,390,350,750,375,300,100,390,200,500,630,350,350,390,350,300,450,human decision maker,fixed,no_feedback,human decision makers,1
