"","subject","LLM","p0","p1","p2","p3","p4","p5","n_round1","n_round2","n_round3","n_round4","n_round5","n_round6","n_round7","n_round8","n_round9","n_round10","n_round11","n_round12","n_round13","n_round14","n_round15","n_round16","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5","ci_lower_n_round1","ci_upper_n_round1","ci_lower_n_round2","ci_upper_n_round2","ci_lower_n_round3","ci_upper_n_round3","ci_lower_n_round4","ci_upper_n_round4","ci_lower_n_round5","ci_upper_n_round5","ci_lower_n_round6","ci_upper_n_round6","ci_lower_n_round7","ci_upper_n_round7","ci_lower_n_round8","ci_upper_n_round8","ci_lower_n_round9","ci_upper_n_round9","ci_lower_n_round10","ci_upper_n_round10","ci_lower_n_round11","ci_upper_n_round11","ci_lower_n_round12","ci_upper_n_round12","ci_lower_n_round13","ci_upper_n_round13","ci_lower_n_round14","ci_upper_n_round14","ci_lower_n_round15","ci_upper_n_round15","ci_lower_n_round16","ci_upper_n_round16"
"1","1","chatgpto1","0.205941706103964","0.295301329883319","1.67460171044843e-08","1.59488040338862e-08","1.69842865027012e-08","0.49875691433361","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"2","2","chatgpto1","0.383477236536742","0.116499628267565","1.9766764298583e-08","1.97818354873535e-08","1.9781828384374e-08","0.500023075865264","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"3","3","chatgpto1","0.323915606677545","0.113527826188882","1.70954227061887e-08","2.33406875268533e-08","1.93896220710967e-08","0.562556507307841","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"4","4","chatgpto1","0.396648763594743","0.228318499529756","1.49156276921924e-07","1.29474854861995e-08","1.29983116503945e-08","0.375032561773426","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"5","5","chatgpto1","0.273845477551874","0.226151287462758","1.72860014596582e-08","1.57519912113353e-08","1.72274403540879e-08","0.500003184719935","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"6","6","chatgpto1","0.481999069858505","0.0804970075146207","2.10448106251854e-08","2.10448446788112e-08","2.10448446788112e-08","0.437503859492375","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"7","7","chatgpto1","0.395956724749665","0.104043188704661","1.81679872773979e-08","1.8168779951617e-08","1.81680267103542e-08","0.50000003204088","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"8","8","chatgpto1","0.31249990512574","1.82426078846276e-08","1.82485284932322e-08","1.82485359585274e-08","1.82485284932322e-08","0.687500021886059","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"9","9","chatgpto1","0.193920162158992","0.305995920505665","2.0875123913101e-08","2.05049151188279e-08","2.08636869115731e-08","0.500083855091617","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"10","10","chatgpto1","0.200164407943944","0.174733076348759","2.18054765929551e-09","1.94439937737515e-09","7.52850498742284e-07","0.625101758731851","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
