"","subject","LLM","tau","n_round1","n_round2","n_round3","n_round4","n_round5","n_round6","n_round7","n_round8","n_round9","n_round10","n_round11","n_round12","n_round13","n_round14","n_round15","n_round16","treatment","temperature","ci_lower_tau","ci_upper_tau","ci_lower_n_round1","ci_upper_n_round1","ci_lower_n_round2","ci_upper_n_round2","ci_lower_n_round3","ci_upper_n_round3","ci_lower_n_round4","ci_upper_n_round4","ci_lower_n_round5","ci_upper_n_round5","ci_lower_n_round6","ci_upper_n_round6","ci_lower_n_round7","ci_upper_n_round7","ci_lower_n_round8","ci_upper_n_round8","ci_lower_n_round9","ci_upper_n_round9","ci_lower_n_round10","ci_upper_n_round10","ci_lower_n_round11","ci_upper_n_round11","ci_lower_n_round12","ci_upper_n_round12","ci_lower_n_round13","ci_upper_n_round13","ci_lower_n_round14","ci_upper_n_round14","ci_lower_n_round15","ci_upper_n_round15","ci_lower_n_round16","ci_upper_n_round16"
"1","1","claude3","1.03035532848372","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"2","2","claude3","1.1035602749188","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"3","3","claude3","1.15859096780552","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"4","4","claude3","0.806405978953742","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"5","5","claude3","1.41605769587021","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"6","6","claude3","1.18925486206314","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"7","7","claude3","9.25389046200107e-16","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"8","8","claude3","2.19668620689428e-14","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"9","9","claude3","0.841803507816112","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"10","10","claude3","7.70857485905649e-15","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"11","11","claude3","1.0331954139296","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"12","12","claude3","7.80758467447079e-15","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"13","13","claude3","0.33574546334681","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"14","14","claude3","1.90858742954249","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"15","15","claude3","0.349861703222907","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"16","16","claude3","4.56064161551237e-14","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"17","17","claude3","0.493158073902831","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"18","18","claude3","0.635390149377951","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"19","19","claude3","0.969849513834396","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"20","20","claude3","1.08538349599094","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"21","21","claude3","2.85673190568903e-15","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"22","22","claude3","5.07989990183194e-16","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"23","23","claude3","1.19749300328907e-12","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"24","24","claude3","0.65922247646384","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"25","25","claude3","1.25806678410382","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"26","26","claude3","0.923576743797193","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"27","27","claude3","0.912568298003545","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"28","28","claude3","0.599996686454272","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"29","29","claude3","1.17506997369107e-09","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"30","30","claude3","0.342465705765856","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"31","31","claude3","3.84936954532611e-12","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"32","32","claude3","2.00178594074875e-16","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"33","33","claude3","0.587044132560248","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"34","34","claude3","1.02497328590569","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"35","35","claude3","0.560244455811708","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"36","36","claude3","7.46572939960991e-15","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"37","37","claude3","0.282051306408775","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"38","38","claude3","1.74474417407101e-13","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"39","39","claude3","1.29186417835327","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.31425153879055e-15","1.43186306386577","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
