"","subject","LLM","p0","p1","p2","p3","p4","p5","n_round1","n_round2","n_round3","n_round4","n_round5","n_round6","n_round7","n_round8","n_round9","n_round10","n_round11","n_round12","n_round13","n_round14","n_round15","n_round16","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5","ci_lower_n_round1","ci_upper_n_round1","ci_lower_n_round2","ci_upper_n_round2","ci_lower_n_round3","ci_upper_n_round3","ci_lower_n_round4","ci_upper_n_round4","ci_lower_n_round5","ci_upper_n_round5","ci_lower_n_round6","ci_upper_n_round6","ci_lower_n_round7","ci_upper_n_round7","ci_lower_n_round8","ci_upper_n_round8","ci_lower_n_round9","ci_upper_n_round9","ci_lower_n_round10","ci_upper_n_round10","ci_lower_n_round11","ci_upper_n_round11","ci_lower_n_round12","ci_upper_n_round12","ci_lower_n_round13","ci_upper_n_round13","ci_lower_n_round14","ci_upper_n_round14","ci_lower_n_round15","ci_upper_n_round15","ci_lower_n_round16","ci_upper_n_round16"
"1","1","claude3","0.650080558938203","0.261887455318473","0.0255009304992039","6.31131744200238e-09","5.25525601967196e-08","0.0625309963802423","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"2","2","claude3","0.573892393415075","0.337514100739043","2.03245392471175e-08","2.82464132003452e-08","0.0260910635065437","0.0625023937683856","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"3","3","claude3","0.55295470224475","0.336111010941094","2.13630219720779e-08","2.00982983123888e-08","4.61756761083235e-08","0.110934199177159","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"4","4","claude3","0.467153574567149","0.470327849561611","2.04575128530329e-08","3.14100315426206e-08","3.12592399107106e-08","0.0625184927444553","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"5","5","claude3","0.661335461107383","0.276163220250719","1.57465681930741e-10","3.15744461337745e-09","7.51866083140147e-08","0.062501240140379","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"6","6","claude3","0.617926349969738","0.257070879212113","6.02183207657271e-09","3.13025872396804e-09","6.16550993294325e-08","0.125002700010958","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"7","7","claude3","0.54383583038259","0.456164113330093","5.12845610728747e-09","1.5698988397677e-08","1.30693967475441e-08","2.23904752039599e-08","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"8","8","claude3","0.471420005450865","0.528579803883456","1.19064424568665e-07","2.31371284369467e-08","2.26235276580224e-08","2.58405988224681e-08","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"9","9","claude3","0.530401669273484","0.407097139661298","3.27806587437155e-08","1.74426489032104e-08","5.27154796623315e-08","0.0625010881264313","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"10","10","claude3","0.33275056936899","0.667249391645825","1.01751915540302e-08","8.6322626791334e-09","1.00933578810544e-08","1.00843721050383e-08","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"11","11","claude3","0.463434941025102","0.53656501659737","1.89224227695458e-09","1.02192095964149e-08","1.5118567097613e-08","1.51475090797812e-08","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"12","12","claude3","0.681507791183146","0.262100257679295","0.0374223540003763","1.0351337232026e-08","0.0189695479539213","3.88319245640213e-08","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"13","13","claude3","0.59865461607271","0.330862467379407","0.0463278026417469","2.52751855075926e-08","0.0241550662976913","2.23332593484243e-08","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"14","14","claude3","0.362591180195071","0.408062379138054","0.0483589642538205","2.88943817881939e-08","4.12783679534256e-08","0.180987406240305","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.416518967994928","0.792059600988173","0.140415264896591","0.477831829533379","4.1788467675069e-11","0.0790638396976079","1.80338195274111e-10","1.4443457478275e-06","1.56062689205154e-08","0.080539704393155","1.76848168148628e-08","0.125049158968276","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
