"","subject","LLM","tau","n_round1","n_round2","n_round3","n_round4","n_round5","n_round6","n_round7","n_round8","n_round9","n_round10","n_round11","n_round12","n_round13","n_round14","n_round15","n_round16","treatment","temperature","ci_lower_tau","ci_upper_tau","ci_lower_n_round1","ci_upper_n_round1","ci_lower_n_round2","ci_upper_n_round2","ci_lower_n_round3","ci_upper_n_round3","ci_lower_n_round4","ci_upper_n_round4","ci_lower_n_round5","ci_upper_n_round5","ci_lower_n_round6","ci_upper_n_round6","ci_lower_n_round7","ci_upper_n_round7","ci_lower_n_round8","ci_upper_n_round8","ci_lower_n_round9","ci_upper_n_round9","ci_lower_n_round10","ci_upper_n_round10","ci_lower_n_round11","ci_upper_n_round11","ci_lower_n_round12","ci_upper_n_round12","ci_lower_n_round13","ci_upper_n_round13","ci_lower_n_round14","ci_upper_n_round14","ci_lower_n_round15","ci_upper_n_round15","ci_lower_n_round16","ci_upper_n_round16"
"1","1","gemini2","0.819290745428097","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"2","2","gemini2","0.91164391943389","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"3","3","gemini2","2.99394869406274","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"4","4","gemini2","2.99804234755723","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"5","5","gemini2","1.41427250562786","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"6","6","gemini2","1.33747153014643","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"7","7","gemini2","1.33971406620792","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"8","8","gemini2","0.951397600460597","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"9","9","gemini2","1.38095232794511","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"10","10","gemini2","1.22222298000787","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"11","11","gemini2","2.03785852795925","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"12","12","gemini2","0.705300212150317","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"13","13","gemini2","1.41378200945075","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"14","14","gemini2","1.54545661160498","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"15","15","gemini2","2.2426465358402","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"16","16","gemini2","1.15381396530555","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"17","17","gemini2","0.906158175969146","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"18","18","gemini2","1.59215266360005","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"19","19","gemini2","1.38095293253196","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"20","20","gemini2","0.863117305582931","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"21","21","gemini2","1.81690186679366","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"22","22","gemini2","1.36248095201775","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"23","23","gemini2","1.83218787096081","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"24","24","gemini2","1.41379558163453","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"25","25","gemini2","1.37893136026562","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"26","26","gemini2","2.07692357382407","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"27","27","gemini2","1.41606023498551","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"28","28","gemini2","2.73665598942243","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"29","29","gemini2","1.24719104455069","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"30","30","gemini2","1.74509821036356","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"31","31","gemini2","1.31788099431565","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"32","32","gemini2","1.73973617946374","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"33","33","gemini2","2.846154511722","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"34","34","gemini2","1.8985513482637","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"35","35","gemini2","1.70143944910696","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"36","36","gemini2","1.51362118957842","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"37","37","gemini2","1.37831444146567","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"38","38","gemini2","1.32977170393685","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_0.5","0.5","0.730527407728008","2.50877232543502","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
