X,subject,LLM,tau,n_round1,n_round2,n_round3,n_round4,n_round5,n_round6,n_round7,n_round8,n_round9,n_round10,n_round11,n_round12,n_round13,n_round14,n_round15,n_round16,treatment,temperature,ci_lower_tau,ci_upper_tau,ci_lower_n_round1,ci_upper_n_round1,ci_lower_n_round2,ci_upper_n_round2,ci_lower_n_round3,ci_upper_n_round3,ci_lower_n_round4,ci_upper_n_round4,ci_lower_n_round5,ci_upper_n_round5,ci_lower_n_round6,ci_upper_n_round6,ci_lower_n_round7,ci_upper_n_round7,ci_lower_n_round8,ci_upper_n_round8,ci_lower_n_round9,ci_upper_n_round9,ci_lower_n_round10,ci_upper_n_round10,ci_lower_n_round11,ci_upper_n_round11,ci_lower_n_round12,ci_upper_n_round12,ci_lower_n_round13,ci_upper_n_round13,ci_lower_n_round14,ci_upper_n_round14,ci_lower_n_round15,ci_upper_n_round15,ci_lower_n_round16,ci_upper_n_round16
1,1,gemini2,0.819290745,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
2,2,gemini2,0.911643919,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
3,3,gemini2,2.993948694,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
4,4,gemini2,2.998042348,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
5,5,gemini2,1.414272506,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
6,6,gemini2,1.33747153,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
7,7,gemini2,1.339714066,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
8,8,gemini2,0.9513976,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
9,9,gemini2,1.380952328,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
10,10,gemini2,1.22222298,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
