X,subject,LLM,p0,p1,p2,p3,p4,p5,n_round1,n_round2,n_round3,n_round4,n_round5,n_round6,n_round7,n_round8,n_round9,n_round10,n_round11,n_round12,n_round13,n_round14,n_round15,n_round16,treatment,temperature,ci_lower_p0,ci_upper_p0,ci_lower_p1,ci_upper_p1,ci_lower_p2,ci_upper_p2,ci_lower_p3,ci_upper_p3,ci_lower_p4,ci_upper_p4,ci_lower_p5,ci_upper_p5,ci_lower_n_round1,ci_upper_n_round1,ci_lower_n_round2,ci_upper_n_round2,ci_lower_n_round3,ci_upper_n_round3,ci_lower_n_round4,ci_upper_n_round4,ci_lower_n_round5,ci_upper_n_round5,ci_lower_n_round6,ci_upper_n_round6,ci_lower_n_round7,ci_upper_n_round7,ci_lower_n_round8,ci_upper_n_round8,ci_lower_n_round9,ci_upper_n_round9,ci_lower_n_round10,ci_upper_n_round10,ci_lower_n_round11,ci_upper_n_round11,ci_lower_n_round12,ci_upper_n_round12,ci_lower_n_round13,ci_upper_n_round13,ci_lower_n_round14,ci_upper_n_round14,ci_lower_n_round15,ci_upper_n_round15,ci_lower_n_round16,ci_upper_n_round16
1,1,gemini2,0.588455186,0.129947695,0.106136288,0.050460343,1.09E-07,0.12500038,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
2,2,gemini2,0.407234744,0.343759438,0.140248706,0.046257642,6.45E-08,0.062499406,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
3,3,gemini2,0.481198538,3.04E-08,0.10279212,2.97E-08,0.041009303,0.374999979,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
4,4,gemini2,0.394444821,0.292915974,5.76E-09,2.06E-08,3.78E-08,0.312639141,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
5,5,gemini2,0.625120914,0.312242331,1.98E-08,8.15E-09,2.42E-08,0.062636703,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
6,6,gemini2,0.494390164,0.273987502,0.044117296,2.63E-08,5.16E-08,0.18750496,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
7,7,gemini2,0.521880999,0.150859533,0.103133706,0.036624859,8.13E-08,0.187500821,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
8,8,gemini2,0.716163553,0.082070477,0.076759986,2.52E-08,4.04E-08,0.125005918,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
9,9,gemini2,0.357962006,0.161656675,0.230373573,4.13E-08,1.56E-07,0.250007549,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
10,10,gemini2,0.601480292,0.273519064,8.38E-10,5.89E-09,5.91E-08,0.125000578,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
