"X","LLM","tau","treatment","temperature","ci_lower_tau","ci_upper_tau"
1,"chatgpt4",0.991764726847667,"human decision maker_human decision maker_0.25",0.25,0.944671409182255,0.999999860608644
2,"chatgpt4",1.00000000869722,"human decision maker_human decision maker_0.5",0.5,0.92996363677835,1.05676937917809
3,"chatgpt4",0.872348638215253,"human decision maker_human decision maker_0.75",0.75,0.817339975856574,0.949578011255161
1,"chatgpto1",1.59905837851277,"human decision maker_human decision maker_1",1,1.52559905713889,1.67275400133083
1,"claude2",1.72529934800162,"human decision maker__0.25",0.25,1.65142303692593,1.78881951436835
2,"claude2",1.21312569089627,"human decision maker__0.5",0.5,0.999999699332928,1.37873180512498
3,"claude2",1.07194230474281,"human decision maker__0.75",0.75,0.886718217379099,1.28918822002841
1,"claude3",1.22944276321964e-19,"human decision maker__0.25",0.25,1.31438462358677e-25,1.14998999320793e-13
2,"claude3",6.85616808391524e-19,"human decision maker__0.5",0.5,2.87907067222729e-25,1.4047438308322e-12
3,"claude3",1.96123050168269e-23,"human decision maker__0.75",0.75,1.11256779944667e-29,1.59114884144244e-17
1,"gemini1",1.11292507961866e-48,"human decision maker_human decision maker_0.5",0.5,1.11292507961866e-48,1.11292507961866e-48
2,"gemini1",1.11292507961866e-48,"human decision maker_human decision maker_0.25",0.25,1.11292507961866e-48,1.11292507961866e-48
3,"gemini1",1.11292507961866e-48,"human decision maker_human decision maker_0.75",0.75,1.11292507961866e-48,1.11292507961866e-48
1,"gemini2",1.89442721118689,"human decision maker_human decision maker_0.5",0.5,1.89442721118689,1.89442721118689
2,"gemini2",1.89442721118689,"human decision maker_human decision maker_0.25",0.25,1.89442721118689,1.89442721118689
3,"gemini2",1.89442721118689,"human decision maker_human decision maker_0.75",0.75,1.89442721118689,1.89442721118689
