"X","LLM","p0","p1","p2","p3","p4","p5","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5"
1,"chatgpt4",1.16058691967957e-06,0.920000178923651,0.0799986312942789,9.73171668193115e-09,9.73171668193115e-09,9.73171668193115e-09,"human decision maker_human decision maker_0.25",0.25,5.59940324917907e-07,7.34799908755357e-06,0.879999429181789,0.959998498765444,0.0399996802652537,0.119999393581718,2.78763693142343e-09,8.70507922436133e-08,2.78763693142343e-09,8.70507922436133e-08,2.78763693142343e-09,8.70507922436133e-08
2,"chatgpt4",0.0285641870713194,0.86714503494832,0.0771429800009854,0.0271421061986187,2.84613209556467e-06,2.8456486609109e-06,"human decision maker_human decision maker_0.5",0.5,3.17344020989152e-06,0.0713826851620964,0.8142893010245,0.918572610167074,0.0357106043528111,0.119999272639315,0.00283746143477914,0.0571363274337487,3.41359763197723e-08,5.64979673140485e-06,3.41359763197723e-08,5.64979673140484e-06
3,"chatgpt4",0.0833172444146781,0.8916560258321,0.0216724561976378,0.00167434447626181,0.00167432341700517,5.60566231741986e-06,"human decision maker_human decision maker_0.75",0.75,0.0249992134243949,0.128561565747079,0.835676683869297,0.945743795019076,3.12513230164992e-06,0.0542771288166185,7.0129657028042e-07,0.0214323422505854,7.82043946149388e-07,0.0216674541366646,5.33781934245631e-07,6.27005055709037e-06
1,"chatgpto1",3.22683010756109e-07,0.279999085367843,0.720000397756417,6.47309097507711e-08,6.47309097507712e-08,6.47309097507706e-08,"human decision maker_human decision maker_1",1,3.08994634901083e-07,6.38179355200163e-07,0.209998962731002,0.350046515781645,0.649951817598509,0.790000476097309,6.24668084798863e-08,2.24376174343062e-07,6.24668084798863e-08,2.24376174343062e-07,6.24668084798864e-08,2.24376174343062e-07
1,"claude2",0.0124927841528228,0.138752406260167,0.848748670840803,2.04625185554783e-06,2.04624249642651e-06,2.04625185554785e-06,"human decision maker__0.25",0.25,3.50692253814344e-07,0.0374874285659293,0.0799986322557229,0.197485877566513,0.788747900562195,0.908750539310588,3.73964212326952e-09,3.49899269187757e-06,3.73964212326951e-09,3.49899269187758e-06,3.73964212326951e-09,3.4989929807911e-06
2,"claude2",0.1683501769943,0.225603242423936,0.498301320370835,0.0134629363839468,0.0942757162712252,6.60755575683193e-06,"human decision maker__0.5",0.5,0.0841752913991217,0.252520605107015,0.154800373791697,0.296282150507634,0.417433466436598,0.580085431613388,3.05372015194279e-06,0.0488182462758576,0.0454550990905264,0.151509472282262,1.93272369760887e-06,1.56061039786649e-05
3,"claude2",0.319144666859668,0.180843487119211,0.361704006177836,0.0531854875710298,0.0851027888884356,1.95633838191755e-05,"human decision maker__0.75",0.75,0.212658912398864,0.425485103629341,0.111725306755377,0.255332974403728,0.276666094524598,0.450354421578995,0.00717896709893613,0.106441942033086,0.0265997979053366,0.141846952682444,3.6931642230653e-06,0.0149528844825281
1,"claude3",0.674966851729304,6.20883574811245e-06,0.292496450563128,1.48017147224818e-05,0.0325094783241055,6.20883299161464e-06,"human decision maker__0.25",0.25,0.574991754978417,0.999989285738536,1.38167890958984e-13,9.08293051350329e-06,6.49100695692032e-10,0.388856141653278,4.20919469217188e-12,2.02887084390905e-05,1.02090979247698e-07,0.0824878591699324,1.38167924305377e-13,9.08295460457985e-06
2,"claude3",0.69999841696696,1.22569961227852e-06,0.299991091483929,7.52837360352121e-06,5.11777633275193e-07,1.22569826225604e-06,"human decision maker__0.5",0.5,0.587468593173491,0.999985006547409,5.05849748924436e-13,8.74744732504709e-06,7.70307299302385e-09,0.377881565903529,6.70747311675802e-11,1.80557308368964e-05,1.54297367153834e-07,0.0750699564453654,5.0584980213113e-13,8.74755796437441e-06
3,"claude3",0.999856425321066,1.63874842707276e-13,4.42211994796742e-09,2.01858046029872e-10,0.000143570054628015,1.6387492731237e-13,"human decision maker__0.75",0.75,0.666620084722531,0.999999997260678,5.12411595464593e-15,5.64116867427729e-06,2.18617117155651e-13,0.28512595948976,4.64030317710506e-13,2.22330591745133e-05,6.76272464330181e-10,0.0749896299690462,5.1241182229063e-15,5.64116758941731e-06
