session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp,LLM
1,1,50,45,24,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,2,50,45,20,10,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,3,50,35,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,4,50,45,20,15,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,5,50,45,20,15,10,7,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,6,50,25,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,7,50,40,20,10,10,10,5,4,2,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,8,50,35,20,15,10,5,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,9,50,25,20,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,10,50,25,20,10,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,11,50,33,20,15,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,1,50,40,20,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,2,50,35,20,15,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,3,50,30,18,15,10,10,6,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,4,50,35,20,15,10,7,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,5,50,45,24,15,10,10,7,4,2,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,6,50,35,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,7,50,45,20,10,10,10,5,4,2,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,8,50,33,24,10,10,10,6,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,9,50,30,24,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,10,50,45,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
2,11,50,35,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,1,50,30,20,15,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,2,50,35,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,3,50,25,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,4,50,40,20,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,5,50,40,20,10,10,10,5,4,2,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,6,50,35,24,14,10,10,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,7,50,25,24,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,8,50,30,24,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,9,50,45,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,10,33,40,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
3,11,50,30,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,1,50,35,20,10,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,2,50,45,20,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,3,50,40,18,15,10,10,6,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,4,50,40,20,15,10,10,6,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,5,33,40,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,6,50,45,20,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,7,50,35,18,14,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,8,50,45,20,10,10,10,7,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,9,33,40,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,10,50,35,20,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
4,11,50,35,20,10,10,15,6,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,1,30,45,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,2,50,40,20,10,10,15,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,3,50,35,20,10,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,4,50,45,24,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,5,50,30,20,15,10,6,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,6,50,30,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,7,50,35,20,14,10,10,6,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,8,50,37,20,10,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,9,35,34,20,10,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,10,50,35,20,15,10,10,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
5,11,50,35,20,14,10,10,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,1,50,35,20,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,2,50,40,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,3,50,35,24,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,4,50,45,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,5,50,35,20,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,6,50,35,24,16,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,7,50,25,24,15,10,15,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,8,50,40,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,9,50,30,15,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,10,50,35,20,10,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
6,11,50,45,20,10,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,1,50,42,20,10,10,10,7,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,2,50,35,18,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
