"X","LLM","tau","var1","var2","var3","var4","var5","n","treatment","temperature","ci_lower_tau","ci_upper_tau","ci_lower_n","ci_upper_n"
1,"chatgpt4",1.09153561584117,0.970588235294118,4.94117647058824,6.61764705882353,6.61764705882353,0.970588235294118,34,"median_0.25",0.25,0.965327863924013,1.10526309224646,34,34
2,"chatgpt4",1.0915291811889,0.970588235294118,4.94117647058824,6.61764705882353,6.61764705882353,0.970588235294118,34,"median_0.5",0.5,0.800938233616678,1.35630755816955,34,34
3,"chatgpt4",1.09152874333317,0.97058823528875,4.94117647058437,6.61764705882045,6.61764705882045,0.970588235294113,33.9999999999943,"median_0.75",0.75,0.266768395263063,1.35630787675093,33.9999999999812,34.0000000000148
1,"chatgpto1",4.00809082171336,0.970588259927023,7.05882354244074,8.3823529493422,8.47058824108477,0.970588235316737,34.0000000261484,"median_1",1,3.16082012879926e-07,4.85680311679649,34.0000000020464,34.0000000447783
1,"claude2",1.11292786317067e-48,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,34,"median_0.25",0.25,1.11292786317067e-48,1.11292786317067e-48,34,34
2,"claude2",1.11292786317067e-48,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,34,"median_0.5",0.5,1.11292786317067e-48,1.11292786317067e-48,34,34
3,"claude2",1.11292786317067e-48,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,34,"median_0.75",0.75,1.11292786317067e-48,1.11292786317067e-48,34,34
1,"claude3",2.59169551703646,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"median_0.25",0.25,2.44859453122079,2.86685942306964,34,34
2,"claude3",2.86685966717851,0.970588235294118,6.61764705882353,8.02941176470588,8.47058823529412,0.970588235294118,34,"median_0.5",0.5,2.65460439420984,2.87509196023992,34,34
3,"claude3",0.987852960884796,0.970588235294118,4.94117647058824,6.11764705882353,6.61764705882353,0.970588235294118,34,"median_0.75",0.75,0.987852960884796,0.987852960884796,34,34
1,"gemini1",7.66160364505011e-46,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,34,"median_0.5",0.5,9.82693056789933e-48,5.27439190174006e-43,34,34
2,"gemini1",9.82693056789933e-48,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,34,"median_0.25",0.25,1.11292786317067e-48,7.66160364505011e-46,34,34
3,"gemini1",7.66160364505011e-46,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,0.970588235294118,34,"median_0.75",0.75,9.82693056789933e-48,5.27439130211116e-43,34,34
1,"gemini2",2.45902191631596,0.970588235294118,6.61764705882353,8.02941176470588,8.23529411764706,0.970588235294118,34,"median_0.5",0.5,2.459021607438,2.91683720399588,34,34
2,"gemini2",2.86685802202447,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"median_0.25",0.25,2.44859404304458,2.86685847548992,34,34
3,"gemini2",2.86685643802559,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"median_0.75",0.75,2.45902214668631,2.86685845500424,34,34
