"X","LLM","p0","p1","p2","p3","p4","p5","var1","var2","var3","var4","var5","n","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5","ci_lower_n","ci_upper_n"
1,"chatgpt4",0.0282878042070283,0.79556094738622,0.106280960812756,0.0698683177050615,7.58382829335378e-07,1.21150610476945e-06,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.25",0.25,1.6354562824672e-06,0.0609561385972153,0.725980507472416,0.858379547515863,0.0495440237830135,0.165752627461237,0.024961375102747,0.120452184206747,5.00010405614405e-08,3.62074872918414e-05,4.39240655307041e-08,2.70308705354682e-05,34.0002538719401,34.0002538719401
2,"chatgpt4",0.207207060042819,0.48939237621711,0.204215972589309,0.0991833410164024,3.61932559975938e-07,8.88201799872052e-07,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.5",0.5,0.132213978907398,0.285136999436487,0.403489622889782,0.567369310689929,0.130977342990412,0.282797807279078,0.0452918818330956,0.16233445985068,1.89585673162603e-07,5.11665652515764e-05,1.37470711218386e-08,6.65912474210505e-05,34.0000776947016,34.0000776947016
3,"chatgpt4",0.492088225909334,0.206665757425395,0.276539293618474,0.0247011929055666,5.52289076468944e-06,7.2504658869875e-09,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.75",0.75,0.38039397737775,0.999980838058021,3.13914830709699e-07,0.28003423939557,1.22838544540953e-06,0.366486466673731,4.00826518766889e-07,0.081011910256605,9.69015329473529e-09,5.13937176122384e-05,7.48685798985167e-10,0.0169006505734021,33.9998822998373,33.9998822998373
1,"chatgpto1",3.01254634393899e-06,1.42604790991608e-08,0.34707022359696,0.274016922058695,0.118909901969669,0.259999925567853,0.970591475177063,7.76470732230092,8.38235361057377,7.05882382692168,0.970588238269217,34.0000034392149,"median_1",1,7.99057991723862e-07,3.99015768362209e-05,2.81909951536106e-11,1.10244405134896e-06,0.254420205104475,0.439702051092617,0.154014519224437,0.401355879157242,0.0338548118620165,0.205030503354502,0.189996772682655,0.329995358722661,33.999504071607,33.999504071607
1,"claude2",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.25",0.25,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
2,"claude2",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.5",0.5,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
3,"claude2",0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.75",0.75,0.999999755937359,0.999999755937359,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125327127128e-08,4.88125327127128e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,4.88125271633706e-08,33.9983178884772,33.9983178884772
1,"claude3",0,1.31560545069188e-25,1,9.94415332072617e-22,1.1990586609053e-27,1.22025905917184e-28,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.25",0.25,0,1.04500708268506e-05,3.01071366423066e-29,0.110418409681666,0.721993814605574,1,1.39374682008781e-25,0.174123551080489,2.97316978989812e-30,9.17566193159985e-08,5.2801508755321e-31,4.36188607516558e-08,33.9991111491332,33.9991111491332
2,"claude3",0,4.31088413277395e-26,1,3.43401508915281e-19,4.03511279352633e-27,3.16545135074237e-28,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.5",0.5,0,1.11022302462516e-16,1.41746466437487e-29,1.77823684539408e-22,0.999999999999949,1,1.12579533658972e-23,5.1368589532136e-14,5.74171137517688e-30,9.92778804699635e-24,1.06203395668421e-30,2.13496384908087e-25,33.9991966619279,33.9991966619279
3,"claude3",0,1,3.88789504627614e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.75",0.75,0,0,1,1,3.88789504627614e-43,3.88789504627614e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,3.8808616421467e-43,34.0081147308917,34.0081147308917
1,"gemini1",0.999999082113841,4.88125497649396e-08,7.14946161373035e-07,5.6486630357482e-08,4.88282680385489e-08,4.88125497649396e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.5",0.5,0.999989318032985,0.999999682879261,4.881205094589e-08,4.88125957386621e-08,1.19430852868231e-07,1.04701327538967e-05,5.12471029401531e-08,6.5366578379673e-08,4.88177458068013e-08,4.8843514445327e-08,4.881205094589e-08,4.88125957386621e-08,33.9983178884659,33.9983178884659
2,"gemini1",0.999999682879261,4.88125069491471e-08,1.19430852868231e-07,5.12471262446607e-08,4.88177458068013e-08,4.88125069491471e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.25",0.25,0.999999082113916,0.999999755937359,4.88125069491471e-08,4.88125957386622e-08,4.88125271633706e-08,7.14946161372664e-07,4.88125327127128e-08,5.64866367792722e-08,4.88125271633706e-08,4.88282624874177e-08,4.88125069491471e-08,4.88125957386622e-08,33.9983178884772,33.9983178884772
3,"gemini1",0.999999082113932,4.88125442155963e-08,7.14946080093034e-07,5.64866367792741e-08,4.88282624874186e-08,4.88125442155963e-08,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.75",0.75,0.999989318023235,0.999999682879261,4.8812006275876e-08,4.88125957386621e-08,1.19430852868231e-07,1.04701422763928e-05,5.12471029401531e-08,6.53666671855485e-08,4.88177458068013e-08,4.88435144452809e-08,4.8812006275876e-08,4.88125957386621e-08,33.9983178885907,33.9983178885907
1,"gemini2",0,5.79870446229354e-37,1,2.56146248854808e-32,6.52716789802647e-37,5.79870446229354e-37,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"median_0.5",0.5,0,0,7.40186499986012e-38,4.98628305746364e-36,1,1,4.56832642692445e-34,1.72149885513901e-30,7.87945643251521e-38,6.01643566471484e-36,7.40186499986012e-38,4.98628304326798e-36,33.9983178896576,33.9983178896576
