"X","LLM","p0","p1","p2","p3","p4","p5","var1","var2","var3","var4","var5","n","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5","ci_lower_n","ci_upper_n"
1,"chatgpt4",0.678071232346545,0.321919059634844,2.65332412492422e-06,2.35156536123295e-06,2.35156456244192e-06,2.35156456244192e-06,0.961538461538461,6.46153846153846,4.61538461538461,2.65384615384615,0.961538461538462,26,"onehalf_0.25",0.25,0.546560372408068,0.999992545577928,4.4644290104688e-07,0.453439568382635,2.05018226089565e-08,1.67997219858189e-05,1.63131913711473e-08,1.73732451224702e-05,1.63132027159854e-08,1.73732513155416e-05,1.63096896541163e-08,1.73732513155416e-05,25.9999433982896,25.9999433982896
2,"chatgpt4",0,8.75874926379577e-27,1,1.27893241438088e-31,2.16344223565318e-33,2.14402310748029e-33,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"twothirds_0.25",0.25,0,1.31046616969166e-05,1.8527425400139e-31,0.217181263139035,0.782818703252525,1,8.49481352238762e-34,3.44566257677224e-05,1.07375044042974e-35,1.63531677715476e-05,1.06342725797868e-35,1.63665558693306e-05,33.999838774268,33.999838774268
3,"chatgpt4",0.999999999968483,2.11622138410223e-11,5.17743089928394e-12,5.17743089928394e-12,0,0,22.5544554455446,10.5742574257426,0.990099009900991,0,0,101,"fourthirds_0.25",0.25,0.999999999964852,0.999999999971893,1.77520787480671e-11,2.47934433870279e-11,5.17742972205599e-12,5.17743089929125e-12,5.17742972205666e-12,5.17743089929401e-12,1.07375044042974e-35,1.63531677715476e-05,1.06342725797868e-35,1.63665558693306e-05,100.997531597216,100.997531597216
4,"chatgpt4",0.658958995656981,0.341036819130861,1.22038979382371e-06,9.88276392705268e-07,9.88272986008064e-07,9.88272986008064e-07,0.961538461538461,6.46153846153846,4.61538461538461,2.65384615384615,0.961538461538462,26,"onehalf_0.5",0.5,0.54696312725474,0.999997876114717,2.83487359649503e-07,0.453021850232245,1.10391946853747e-07,5.56805663028694e-06,6.80015310524827e-08,4.29699517875768e-06,6.80015392480368e-08,4.29699110842484e-06,6.8001539248037e-08,4.29699110842485e-06,25.9999423814707,25.9999423814707
5,"chatgpt4",0.0122165676084591,0.272432852481608,0.715344790900135,5.8510833961304e-08,3.23415334947043e-06,2.49634561444984e-06,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"twothirds_0.5",0.5,4.03177306762537e-08,0.036037893577127,0.200107914475365,0.342023570788915,0.644822453917705,0.790235770031675,5.09726852339869e-10,7.65767079016192e-05,7.03080335894515e-09,1.23643263343701e-05,6.59920053275325e-09,1.24877185508031e-05,34.0014761651615,34.0014761651615
6,"chatgpt4",0.999999999920098,6.95467751236398e-11,5.17743266485098e-12,5.17743266485098e-12,0,0,22.5544554455446,10.5742574257426,0.990099009900991,0,0,101,"fourthirds_0.5",0.5,0.999999999568524,0.999999999977282,1.23628184151988e-11,4.21120656252069e-10,5.17743030992448e-12,5.17743325363785e-12,5.17743031034775e-12,5.17743325365303e-12,7.03080335894515e-09,1.23643263343701e-05,6.59920053275325e-09,1.24877185508031e-05,100.997598520569,100.997598520569
7,"chatgpt4",0.742877056677685,0.257114765827233,2.15879254691472e-06,2.13129007398855e-06,1.94430260497726e-06,1.94310985613109e-06,0.961538461538461,6.46153846153846,4.61538461538461,2.65384615384615,0.961538461538462,26,"onehalf_0.75",0.75,0.647334100707404,0.999999869691932,9.4601406456921e-10,0.352647189344453,4.11855611977833e-17,0.000181630366882626,3.02669380287732e-11,7.77071242352317e-06,2.85714204867401e-11,7.66163404043087e-06,2.85706223221951e-11,7.66124795084608e-06,25.9998713174591,25.9998713174591
8,"chatgpt4",0.035212896773454,0.266187320336748,0.698594952388883,4.79178864813999e-08,2.42450291291355e-06,2.35808011519363e-06,0.970588235294118,7.76470588235294,8.38235294117647,7.05882352941176,0.970588235294118,34,"twothirds_0.75",0.75,0.010577070756487,0.0702409808074205,0.19635710158828,0.336887662818738,0.624803580703193,0.77095801995181,1.57184243268977e-10,8.55360359980745e-06,4.01888536633356e-08,1.20685890321793e-05,4.01725366942417e-08,1.21972700610509e-05,34.0002064114719,34.0002064114719
9,"chatgpt4",0.999999973653762,2.63358826943287e-08,5.17743429467657e-12,5.17743311746444e-12,0,0,22.5544554455446,10.5742574257426,0.990099009900991,0,0,101,"fourthirds_0.75",0.75,0.99999884067637,0.999999999407296,5.8234945427258e-10,1.15931327568074e-06,5.17742926684083e-12,5.17743616543301e-12,5.17742750009665e-12,5.17743500772273e-12,4.01888536633356e-08,1.20685890321793e-05,4.01725366942417e-08,1.21972700610509e-05,100.998045854264,100.998045854264
1,"chatgpto1",1.02338110119504e-05,1.35881327405574e-05,0.870028809362025,1.67811971075016e-05,1.36144199462926e-05,0.129916973077169,0.961538461538461,6.46153846153846,4.61538461538461,2.65384615384615,0.961538461538462,26,"onehalf_1",1,0,0.000169343374156905,3.18334829446349e-33,1.74940364751389e-05,0.81006964929225,1,6.60671180877672e-33,2.26135026450892e-05,6.11937295224499e-33,2.39591545449062e-05,5.96073782045006e-30,0.179971782326918,25.9983342707771,25.9983342707771
